Artikelnummer;Attributgruppe;Sortiernummer;Attributname;Attributwert;Datentyp;Attributart
CFP-100G-ER4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CFP-100G-LR4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CFP-100G-SR10;Transceivers & SFP Modul;5;Faseranzahl;20;Wertliste;Attribut
CFP-40G-FR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CFP-40G-LR4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CFP-40G-SR4;Transceivers & SFP Modul;5;Faseranzahl;8;Wertliste;Attribut
CFP2-100G-ER4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CFP2-WDM-DETS-1HL;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CFP2-WDM-DS-1HL;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CFP2-WDM-DS100-HL;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CPAK-100G-CWDM4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CPAK-100G-ER4F;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CPAK-100G-ER4L;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CPAK-100G-LR4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CPAK-100G-PSM4;Transceivers & SFP Modul;5;Faseranzahl;8;Wertliste;Attribut
CPAK-100G-SR10;Transceivers & SFP Modul;5;Faseranzahl;20;Wertliste;Attribut
CPAK-100G-SR4;Transceivers & SFP Modul;5;Faseranzahl;8;Wertliste;Attribut
CPAK-100GE-LR4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CPAK-10X10G-ERL;Transceivers & SFP Modul;5;Faseranzahl;20;Wertliste;Attribut
CWDM-SFP-1470;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CWDM-SFP-1490;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CWDM-SFP-1510;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CWDM-SFP-1530;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CWDM-SFP-1610;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CWDM-SFP10G-1470;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CWDM-SFP10G-1490;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CWDM-SFP10G-1510;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CWDM-SFP10G-1530;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CWDM-SFP10G-1550;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CWDM-SFP10G-1570;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CWDM-SFP10G-1590;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CWDM-SFP10G-1610;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CXP-100G-SR10;Transceivers & SFP Modul;5;Faseranzahl;20;Wertliste;Attribut
CXP-100G-SR12;Transceivers & SFP Modul;5;Faseranzahl;20;Wertliste;Attribut
DP01QSDD-ZF1;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DP04QSDD-ER1;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DP04QSDD-HE0;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-SFP-3033;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-SFP-3112;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-SFP-3190;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-SFP-3268;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-SFP-6141;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-SFP10G-C;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-SFP10G-C-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-30.33;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-31.12;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-31.90;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-32.68;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-34.25;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-35.04;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-35.82;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-36.61;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-38.19;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-38.98;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-39.77;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-40.56;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-42.14;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-42.94;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-43.73;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-44.53;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-46.12;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-46.92;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-47.72;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-48.51;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-50.12;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-50.92;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-51.72;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-52.52;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-54.13;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-54.94;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-55.75;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-56.55;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-58.17;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-58.98;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-59.79;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-X2-60.61;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-30.33;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-31.12;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-31.90;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-32.68;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-34.25;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-35.04;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-35.82;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-36.61;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-38.19;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-38.98;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-39.77;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-40.56;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-42.14;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-42.94;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-43.73;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-44.53;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-46.12;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-46.92;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-47.72;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-48.51;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-50.12;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-50.92;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-51.72;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-52.52;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-54.13;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-54.94;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-55.75;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-56.55;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-58.17;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-58.98;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-59.79;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
DWDM-XFP-60.61;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-2BX-D;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
GLC-BX-D;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
GLC-BX-U;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
GLC-BX40-D-I;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
GLC-BX40-DA-I;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
GLC-BX40-U-I;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
GLC-BX80-D-I;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
GLC-BX80-U-I;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
GLC-EX-SMD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-FE-100BX-D;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
GLC-FE-100BX-U;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
GLC-FE-100EX;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-FE-100FX;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-FE-100FX-RGD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-FE-100LX;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-FE-100LX-RGD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-FE-100ZX;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-LH-SM;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-LH-SMD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-LX-SM-RGD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-SX-MM;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-SX-MM-RGD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-SX-MMD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-ZX-SM;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-ZX-SM-RGD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
GLC-ZX-SMD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
J4858C;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
J4858D;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
J4859C;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
J4859D;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
J9150A;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
J9150D;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
J9151A;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
MA-SFP-10GB-ER;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
MA-SFP-10GB-ZR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
ONS-CFP2-WDM;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
ONS-CFP2-WDM2;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
ONS-CFP2D-400G-C;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
ONS-QSFP28-LR4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QDD-2X100-CWDM4-S;Transceivers & SFP Modul;5;Faseranzahl;4;Wertliste;Attribut
QDD-2X100-LR4-S;Transceivers & SFP Modul;5;Faseranzahl;4;Wertliste;Attribut
QDD-2X100-SR4-S;Transceivers & SFP Modul;5;Faseranzahl;16;Wertliste;Attribut
QDD-400G-DR4-S;Transceivers & SFP Modul;5;Faseranzahl;8;Wertliste;Attribut
QDD-400G-FR4-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QDD-400G-LR4-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QDD-400G-LR8-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QDD-4X100G-LR-S;Transceivers & SFP Modul;5;Faseranzahl;8;Wertliste;Attribut
QSFP-100G-4W40-I;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-100G-CWDM4-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-100G-DR-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-100G-ER4L-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-100G-ERL-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-100G-FR-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-100G-LR-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-100G-LR4-I;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-100G-LR4-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-100G-PSM4-S;Transceivers & SFP Modul;5;Faseranzahl;8;Wertliste;Attribut
QSFP-100G-SM-SR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-100G-SR-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-100G-SR1.2;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-100G-SR4;Transceivers & SFP Modul;5;Faseranzahl;8;Wertliste;Attribut
QSFP-100G-ZR4-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-40/100-SRBD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-40G-BD-RX;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-40G-CSR-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-40G-CSR4;Transceivers & SFP Modul;5;Faseranzahl;8;Wertliste;Attribut
QSFP-40G-ER4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-40G-LR4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-40G-LR4-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-40G-SR-BD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-40G-SR4;Transceivers & SFP Modul;5;Faseranzahl;8;Wertliste;Attribut
QSFP-40G-SR4-S;Transceivers & SFP Modul;5;Faseranzahl;8;Wertliste;Attribut
QSFP-40GE-LR4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
QSFP-4X10G-LR-S;Transceivers & SFP Modul;5;Faseranzahl;8;Wertliste;Attribut
SFP-10/25G-BXD-I;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
SFP-10/25G-BXU-I;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
SFP-10/25G-CSR-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10/25G-LR-I;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10/25G-LR-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-BX40D-I;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
SFP-10G-ER;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-ER-I;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-ER-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-LR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-LR-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-LR-X;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-LRM;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-SR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-SR-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-SR-X;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-ZR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-ZR-I;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-10G-ZR-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-25G-ER-I;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-25G-SL;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-25G-SR-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-GE-L;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-GE-S;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-GE-Z;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
SFP-GPON-B;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
SFP-GPON-B-I;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
SFP-GPON-C;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
SFP-GPON-C-I;Transceivers & SFP Modul;5;Faseranzahl;1;Wertliste;Attribut
WS-G5484;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
WS-G5486;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
WS-G5487;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
WSP-Q40GLR4L;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
X2-10GB-ER;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
X2-10GB-LR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
X2-10GB-LRM;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
X2-10GB-LX4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
X2-10GB-SR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
X2-10GB-ZR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XENPAK-10GB-LRM;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XENPAK-10GB-LX4;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XENPAK-10GB-SR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XENPAK-10GB-ZR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP-10G-MM-SR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP-10GER-OC192IR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP-10GLR-OC192SR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP-10GZR-OC192LR;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP10GER-192IR-L;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP10GER192IR-RGD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP10GLR-192SR-L;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
XFP10GZR192LR-RGD;Transceivers & SFP Modul;5;Faseranzahl;2;Wertliste;Attribut
CFP-100G-ER4;Transceivers & SFP Modul;11;Anwendung;Metro-/Weitverkehrsnetz;Wertliste;Attribut
CFP-100G-LR4;Transceivers & SFP Modul;11;Anwendung;Campus-/Metro-Netz (Langstrecke);Wertliste;Attribut
CFP-100G-SR10;Transceivers & SFP Modul;11;Anwendung;Rechenzentrum (Kurzstrecke);Wertliste;Attribut
CFP-40G-FR;Transceivers & SFP Modul;11;Anwendung;Campus-/Metro-Netz (Langstrecke);Wertliste;Attribut
CFP-40G-LR4;Transceivers & SFP Modul;11;Anwendung;Campus-/Metro-Netz (Langstrecke);Wertliste;Attribut
CFP-40G-SR4;Transceivers & SFP Modul;11;Anwendung;Rechenzentrum (Kurzstrecke);Wertliste;Attribut
CFP2-100G-ER4;Transceivers & SFP Modul;11;Anwendung;Metro-/Weitverkehrsnetz;Wertliste;Attribut
CFP2-WDM-DETS-1HL;Transceivers & SFP Modul;11;Anwendung;Carrier-/Transportnetz (DWDM / kohärent);Wertliste;Attribut
CFP2-WDM-DS-1HL;Transceivers & SFP Modul;11;Anwendung;Carrier-/Transportnetz (DWDM / kohärent);Wertliste;Attribut
CFP2-WDM-DS100-HL;Transceivers & SFP Modul;11;Anwendung;Carrier-/Transportnetz (DWDM / kohärent);Wertliste;Attribut
CPAK-100G-CWDM4;Transceivers & SFP Modul;11;Anwendung;Campus-/Metro-Netz (Langstrecke);Wertliste;Attribut
CPAK-100G-ER4F;Transceivers & SFP Modul;11;Anwendung;Metro-/Weitverkehrsnetz;Wertliste;Attribut
CPAK-100G-ER4L;Transceivers & SFP Modul;11;Anwendung;Metro-/Weitverkehrsnetz;Wertliste;Attribut
CPAK-100G-LR4;Transceivers & SFP Modul;11;Anwendung;Campus-/Metro-Netz (Langstrecke);Wertliste;Attribut
CPAK-100G-PSM4;Transceivers & SFP Modul;11;Anwendung;Rechenzentrum (Kurzstrecke);Wertliste;Attribut
CPAK-100G-SR10;Transceivers & SFP Modul;11;Anwendung;Rechenzentrum (Kurzstrecke);Wertliste;Attribut
CPAK-100G-SR4;Transceivers & SFP Modul;11;Anwendung;Rechenzentrum (Kurzstrecke);Wertliste;Attribut
CPAK-100GE-LR4;Transceivers & SFP Modul;11;Anwendung;Campus-/Metro-Netz (Langstrecke);Wertliste;Attribut
CPAK-10X10G-ERL;Transceivers & SFP Modul;11;Anwendung;Metro-/Weitverkehrsnetz;Wertliste;Attribut
CWDM-SFP-1470;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP-1490;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP-1510;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP-1530;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP-1610;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP10G-1470;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP10G-1490;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
CWDM-SFP10G-1510;Transceivers & SFP Modul;11;Anwendung;Metro-/Zugangsnetz (CWDM);Wertliste;Attribut
